TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Ate seis meses;Quase nunca;15/01/1979;43;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$105.00;160;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Quase nunca;15/02/1953;69;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre um e dois anos;Quase nunca;02/06/1967;54;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$105.00;350;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;25/08/1982;39;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;31/08/1999;22;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$105.00;440;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Quase nunca;17/09/1988;33;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;01/02/1958;64;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;09/03/1993;29;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$105.00;100;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;21/07/2000;21;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;10/10/1978;43;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;16/04/1994;27;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Quase nunca;22/09/1975;46;FEMININO;SIM;SIM;Medio completo;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
