TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Ate seis meses;Nunca;09/05/2002;19;MASCULINO;NAO;SIM;Fundamental completo;Parda;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS VILA CEMIG;BARREIRO;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;04/06/1986;35;MASCULINO;NAO;SIM;Medio incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;25 a 36 Meses;01/03/2022
Ate seis meses;Todo mes;01/03/1992;30;FEMININO;NAO;SIM;Sem instrucao;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS VILA ANTENA;OESTE;ate 12 Meses;01/03/2022
Ate seis meses;Todo dia;03/04/1958;63;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre cinco e dez anos;Nunca;05/02/1965;57;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;15/10/1964;57;FEMININO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;01/03/2022
Mais de dez anos;Nunca;25/10/1959;62;MASCULINO;NAO;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;25 a 36 Meses;01/03/2022
Entre seis meses e um ano;Toda semana;15/09/1975;46;FEMININO;NAO;SIM;Fundamental completo;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS HAVAI VENTOSA;OESTE;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Nunca;18/01/1966;56;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;03/07/1979;42;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS ALTO VERA CRUZ;LESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;25/02/1977;45;MASCULINO;NAO;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;14/03/1951;70;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Ate seis meses;Todo mes;26/12/1972;49;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Todo ano;03/06/1971;50;MASCULINO;NAO;SIM;Medio completo;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Ate seis meses;Toda semana;21/11/1960;61;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Entre R$210.01 ate 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Todo mes;29/09/1982;39;FEMININO;NAO;SIM;Medio incompleto;Preta;Entre R$210.01 ate 0.5 Salario Minimo;0;CRAS CALIFORNIA;NOROESTE;13 a 18 Meses;01/03/2022
Mais de dez anos;Todo dia;12/10/1974;47;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;CRAS VILA SAO JOSE;PAMPULHA;ate 12 Meses;01/03/2022
Ate seis meses;Todo mes;29/08/1969;52;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre dois e cinco anos;Quase nunca;15/02/1969;53;MASCULINO;NAO;SIM;Medio completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Toda semana;10/01/1976;46;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;BARREIRO;acima de 48 Meses;01/03/2022
Mais de dez anos;Quase nunca;17/08/1955;66;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;23/04/1947;74;MASCULINO;NAO;SIM;Fundamental completo;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;05/09/2000;21;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre cinco e dez anos;Quase nunca;06/01/1963;59;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;06/10/1972;49;FEMININO;NAO;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;37 a 48 Meses;01/03/2022
Mais de dez anos;Nunca;03/06/1956;65;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Todo mes;19/10/1975;46;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;16/06/1976;45;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;acima de 48 Meses;01/03/2022
Entre um e dois anos;Toda semana;12/08/1953;68;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;14/08/1974;47;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;13 a 18 Meses;01/03/2022
Entre cinco e dez anos;Toda semana;04/08/1978;43;MASCULINO;NAO;SIM;Medio incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Todo dia;28/07/1981;40;MASCULINO;NAO;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;37 a 48 Meses;01/03/2022
Entre dois e cinco anos;Quase nunca;22/04/1985;36;MASCULINO;NAO;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;12/04/1973;48;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;14;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Mais de dez anos;Todo ano;27/03/1977;44;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;13 a 18 Meses;01/03/2022
Mais de dez anos;Quase nunca;08/04/1958;63;MASCULINO;NAO;SIM;Medio completo;Parda;Ate R$105.00;50;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Ate seis meses;Quase nunca;14/07/1980;41;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Entre R$210.01 ate 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;LESTE;25 a 36 Meses;01/03/2022
Entre um e dois anos;Toda semana;09/09/1978;43;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;30/06/1985;36;FEMININO;NAO;SIM;Fundamental completo;Preta;Ate R$105.00;50;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Mais de dez anos;Nunca;01/10/1952;69;MASCULINO;NAO;SIM;Medio incompleto;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre cinco e dez anos;Quase nunca;01/03/1962;60;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Quase nunca;22/07/1960;61;FEMININO;NAO;SIM;Fundamental completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Mais de dez anos;Todo ano;09/04/1968;53;MASCULINO;NAO;SIM;Fundamental completo;Parda;Entre R$210.01 ate 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Quase nunca;07/03/1977;45;MASCULINO;NAO;SIM;Fundamental completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;26/07/1988;33;MASCULINO;NAO;SIM;Medio incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Mais de dez anos;Toda semana;21/06/1955;66;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;CRAS MARIANO DE ABREU;LESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;27/03/1974;47;FEMININO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;13 a 18 Meses;01/03/2022
Ate seis meses;Nunca;05/02/1962;60;MASCULINO;NAO;SIM;Fundamental completo;Preta;Acima de 0.5 Salario Minimo;1228;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;30/03/1955;66;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Todo ano;15/03/1963;58;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Todo ano;23/11/1980;41;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre cinco e dez anos;Nunca;12/11/1968;53;MASCULINO;NAO;SIM;Fundamental completo;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;12/10/1972;49;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Mais de dez anos;Todo mes;11/06/1958;63;MASCULINO;NAO;SIM;Medio incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;13 a 18 Meses;01/03/2022
Entre cinco e dez anos;Nunca;01/05/1959;62;MASCULINO;NAO;SIM;Sem instrucao;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;02/08/1947;74;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;12/04/1966;55;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;19 a 24 Meses;01/03/2022
Mais de dez anos;Todo ano;24/07/1968;53;MASCULINO;NAO;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Mais de dez anos;Quase nunca;31/10/1977;44;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Todo mes;22/04/1979;42;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;acima de 48 Meses;01/03/2022
Mais de dez anos;Nunca;10/04/1952;69;MASCULINO;NAO;SIM;Fundamental completo;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Toda semana;18/03/1951;70;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;CRAS VISTA ALEGRE;OESTE;13 a 18 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;08/10/1950;71;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;14/01/1971;51;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;CRAS PROVIDENCIA;NORTE;37 a 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;04/02/1952;70;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre um e dois anos;Nunca;30/08/1965;56;MASCULINO;NAO;SIM;Medio completo;Preta;Ate R$105.00;90;ENDERECO FORA AREA CRAS;NOROESTE;37 a 48 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;11/12/1958;63;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;19 a 24 Meses;01/03/2022
Mais de dez anos;Todo mes;20/04/1964;57;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;75;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Mais de dez anos;Nunca;16/03/1980;41;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;13 a 18 Meses;01/03/2022
Mais de dez anos;Nunca;08/02/1956;66;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Quase nunca;28/01/1965;57;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;22/12/1949;72;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;13 a 18 Meses;01/03/2022
Mais de dez anos;Quase nunca;05/04/1974;47;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;29/03/1966;55;MASCULINO;NAO;SIM;Sem instrucao;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;15/06/1975;46;MASCULINO;NAO;SIM;Medio incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;27/02/1943;79;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;18/10/1984;37;MASCULINO;NAO;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Todo ano;12/06/1967;54;MASCULINO;NAO;SIM;Sem instrucao;Branca;Ate R$105.00;86;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Mais de dez anos;Quase nunca;01/10/1976;45;MASCULINO;NAO;SIM;Fundamental completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;08/04/1978;43;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre seis meses e um ano;Nunca;10/10/1977;44;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;70;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;21/12/1978;43;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;PAMPULHA;acima de 48 Meses;01/03/2022
Mais de dez anos;Quase nunca;07/03/1960;62;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;17/11/1975;46;MASCULINO;NAO;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Quase nunca;30/08/1976;45;MASCULINO;NAO;SIM;Fundamental completo;Parda;Ate R$105.00;70;ENDERECO FORA AREA CRAS;NOROESTE;acima de 48 Meses;01/03/2022
Mais de dez anos;Nunca;05/10/1966;55;FEMININO;NAO;SIM;Sem instrucao;Branca;Ate R$105.00;30;CRAS VILA SENHOR DOS PASSOS;NOROESTE;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;20/03/1982;39;MASCULINO;NAO;SIM;Medio completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;26/08/1971;50;MASCULINO;NAO;SIM;Medio completo;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;13 a 18 Meses;01/03/2022
Entre cinco e dez anos;Quase nunca;16/09/1962;59;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Ate R$105.00;70;ENDERECO FORA AREA CRAS;NOROESTE;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;16/08/1976;45;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre dois e cinco anos;Nunca;04/03/1973;49;FEMININO;NAO;SIM;Sem instrucao;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;13 a 18 Meses;01/03/2022
Entre cinco e dez anos;Todo dia;21/08/1974;47;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;10/08/1958;63;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Todo ano;05/11/1952;69;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;20/11/1967;54;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;25/12/1960;61;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;80;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Mais de dez anos;Nunca;22/02/1965;57;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;19 a 24 Meses;01/03/2022
Entre cinco e dez anos;Toda semana;04/10/1963;58;MASCULINO;NAO;SIM;Medio completo;Preta;Ate R$105.00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;01/03/2022
Entre um e dois anos;Nunca;11/02/1964;58;FEMININO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;CRAS PROVIDENCIA;NORTE;acima de 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;12/06/1971;50;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;02/05/1948;73;FEMININO;NAO;SIM;Sem instrucao;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre seis meses e um ano;Nunca;19/05/1949;72;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;04/07/1969;52;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS ALTO VERA CRUZ;LESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;07/06/1974;47;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Mais de dez anos;Toda semana;19/08/1977;44;MASCULINO;NAO;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre dois e cinco anos;Nunca;21/11/1965;56;FEMININO;NAO;SIM;Medio incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;37 a 48 Meses;01/03/2022
Entre cinco e dez anos;Nunca;15/12/1969;52;MASCULINO;NAO;SIM;Medio completo;Parda;Ate R$105.00;80;ENDERECO FORA AREA CRAS;LESTE;acima de 48 Meses;01/03/2022
Entre dois e cinco anos;Nunca;24/05/1974;47;MASCULINO;NAO;SIM;Fundamental completo;Parda;Ate R$105.00;100;CRAS PROVIDENCIA;NORTE;acima de 48 Meses;01/03/2022
Ate seis meses;Nunca;03/06/1955;66;MASCULINO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;25/04/1964;57;FEMININO;NAO;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;CRAS PROVIDENCIA;NORTE;acima de 48 Meses;01/03/2022
Mais de dez anos;Nunca;13/01/1985;37;MASCULINO;NAO;SIM;Medio completo;Branca;Acima de 0.5 Salario Minimo;1800;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;28/10/1976;45;MASCULINO;NAO;SIM;Fundamental completo;Parda;Acima de 0.5 Salario Minimo;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;37 a 48 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;30/03/1951;70;MASCULINO;NAO;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre seis meses e um ano;Nunca;27/02/1977;45;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Ate seis meses;Quase nunca;29/07/1963;58;MASCULINO;NAO;SIM;Superior incompleto ou mais;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NORDESTE;37 a 48 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;16/01/1965;57;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;26/05/1974;47;FEMININO;NAO;SIM;Fundamental incompleto;Preta;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;27/04/1941;80;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Mais de dez anos;Nunca;15/03/1953;68;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;NOROESTE;19 a 24 Meses;01/03/2022
Entre cinco e dez anos;Nunca;07/02/1972;50;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Quase nunca;27/06/1974;47;MASCULINO;NAO;SIM;Medio completo;Branca;Acima de 0.5 Salario Minimo;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;12/05/1954;67;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;37 a 48 Meses;01/03/2022
Entre dois e cinco anos;Nunca;04/02/1981;41;MASCULINO;NAO;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;acima de 48 Meses;01/03/2022
Mais de dez anos;Quase nunca;09/11/1962;59;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;25 a 36 Meses;01/03/2022
Entre cinco e dez anos;Nunca;25/01/1978;44;MASCULINO;NAO;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;01/03/2022
